epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
32,0.008208569470578088,0.093333,0.055408802,0.05604317,0.116191484,6.821244,5.594361,2.830741
33,0.008210372728988146,0.09,0.054691195,0.05127411,0.11563485,6.9222217,5.666311,2.8031216
34,0.00822312351411734,0.086667,0.048664454,0.052707966,0.1120715,6.612681,5.484462,2.6647806
35,0.007559519341716973,0.083333,0.055921547,0.052753266,0.10980419,6.6786785,5.5022936,2.5950565
36,0.007424780713895766,0.08,0.04289969,0.049319677,0.111048885,6.28474,5.2090254,2.3750327
37,0.006914356612982467,0.076667,0.046341024,0.053579956,0.10704789,6.4365196,5.2619104,2.3741772
38,0.006728757981760189,0.073333,0.0416134,0.046713635,0.10631728,6.364029,5.2692146,2.2776535
39,0.007166808091987593,0.07,0.04785435,0.049227983,0.102916345,6.5395803,5.420946,2.237649
40,0.006181691537420146,0.066667,0.043014374,0.04732313,0.103328854,6.302666,5.1857915,2.0571203
41,0.006097066231095829,0.063333,0.042982318,0.04803184,0.09846349,6.240726,5.2546043,1.8839655
42,0.005904447445526528,0.06,0.045062874,0.04612746,0.09731611,6.2520347,5.250654,1.8724486
43,0.005646486835291562,0.056667,0.0422059,0.04916481,0.09771368,6.344434,5.2917643,1.9553757
44,0.005563777396813608,0.053333,0.039409306,0.048689365,0.09223149,6.218988,5.268432,1.8368134
45,0.005112650589301036,0.05,0.039085004,0.04705939,0.09077295,6.3031545,5.369296,1.8128684
46,0.005439756814247141,0.046667,0.040667843,0.04967356,0.093955055,6.197717,5.3052936,1.8361989
47,0.004895939146920752,0.043333,0.034599893,0.039690208,0.08853872,6.2169485,5.387335,1.7967615
48,0.004663060828207586,0.04,0.039349206,0.048164543,0.08439016,6.2026043,5.3381343,1.8131318
49,0.004452855579960995,0.036667,0.042200405,0.045319103,0.084507346,6.3980074,5.596748,1.8487425
50,0.004347383874492385,0.033333,0.053363193,0.04489388,0.0837282,6.221308,5.3616743,1.7941353
51,0.0043585143314722255,0.03,0.03614383,0.038991455,0.08286096,6.169048,5.3797784,1.7612729
52,0.003785725375518012,0.026667,0.042469807,0.0452888,0.07967588,6.075432,5.3427215,1.7240397
53,0.003697268763342156,0.023333,0.038011882,0.040618222,0.07845684,6.2085094,5.5627413,1.7215215
54,0.0036791095417589904,0.02,0.046618044,0.045534134,0.078231126,5.8899555,5.2739906,1.6540451
