name,description,epoch,val_x,val_y,val_z,val_mean,ood_x,ood_y,ood_z,ood_mean,time_min
full,Full model (ours),285,0.00877382978796959,0.010334153659641743,0.030349895358085632,0.01648595929145813,1.6933743953704834,2.108877420425415,1.2125622034072876,1.6716046333312988,1.997183581193288
no_sym,w/o symmetry loss,294,0.006879609078168869,0.008886589668691158,0.028768766671419144,0.014844988472759724,2.155958414077759,1.5003149509429932,1.1632287502288818,1.6065006256103516,1.9535638650258382
no_curr,w/o curriculum,288,0.01288659032434225,0.015888558700680733,0.04227127507328987,0.023682141676545143,2.447258234024048,2.350935459136963,1.1461584568023682,1.9814506769180298,2.1323872327804567
with_downwash,w/ downwash loss,285,0.02421587146818638,0.028949355706572533,0.1023266464471817,0.05183062329888344,1.9220069646835327,2.9305269718170166,1.4808781147003174,2.1111373901367188,2.034143881003062
