Traj,Wind,Split,SE3 only,SE3+PINN,Oracle,PINN-MPPI,SE3+PINN improv%,Oracle improv%,PINN-MPPI improv%
hover,4.0,train,0.2991,0.2954,0.0501,0.1961,+1.3,+83.2,+34.4
hover,8.0,train,0.7010,0.6547,0.4516,0.5843,+6.6,+35.6,+16.6
hover,10.0,OOD,1.0211,0.9082,0.7707,0.9169,+11.1,+24.5,+10.2
hover,12.0,OOD,1.5184,1.2885,1.2653,1.4147,+15.1,+16.7,+6.8
circle,4.0,train,0.3157,52.3678,0.0996,0.2227,-16487.1,+68.5,+29.5
circle,8.0,train,0.7379,26.9428,0.4881,0.6374,-3551.1,+33.9,+13.6
circle,10.0,OOD,1.0611,75.1779,0.8129,0.9499,-6984.8,+23.4,+10.5
circle,12.0,OOD,1.5378,178.3777,1.2871,1.4102,-11499.4,+16.3,+8.3
